key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
"LI Z, 2021, ",Neural scene flow fields for space-time view synthesis of dynamic scenes,Li Z;Niklaus S;Snavely N;Wang O,PROCEEDINGS OF THE IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION,10636919,NA,NA,6494-6504,2021,IEEE COMPUTER SOCIETY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120744367&doi=10.1109%2fCVPR46437.2021.00643&partnerID=40&md5=d376cb1844ebaa38b6ec37690ba23e03,"We present a method to perform novel view and time synthesis of dynamic scenes, requiring only a monocular video with known camera poses as input. To do this, we introduce neural scene flow fields, a new representation that models the dynamic scene as a time-variant continuous function of appearance, geometry, and 3d scene motion. Our representation is optimized through a neural network to fit the observed input views. We show that our representation can be used for varieties of in-the-wild scenes, including thin structures, view-dependent effects, and complex degrees of motion. We conduct a number of experiments that demonstrate our approach significantly outperforms recent monocular view synthesis methods, and show qualitative results of space-time view synthesis on a variety of real-world videos. © 2021 ieee",ENGLISH,10.1109/CVPR46437.2021.00643,computer vision; 3d scenes;  continuous functions;  dynamic scenes;  monocular video;  neural-networks;  scene flow;  spacetime;  thin structure;  time variant;  view synthesis; flow fields
"CHEESEMAN T, 2021, ","Advanced image recognition: a fully automated, high-accuracy photo-identification matching system for humpback whales",Cheeseman T;Southerland K;Park J;Olio M;Flynn K;Calambokidis J;Jones L;Garrigue C;Frisch Jordán A;Howard A;Reade W;Neilson J;Gabriele C;Clapham P,MAMMALIAN BIOLOGY,16165047,NA,NA,NA,2021,SPRINGER SCIENCE AND BUSINESS MEDIA DEUTSCHLAND GMBH,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120711050&doi=10.1007%2fs42991-021-00180-9&partnerID=40&md5=6f7a7e62128c64d1ae16d656e66ab069,"We describe the development and application of a new convolutional neural network-based photo-identification algorithm for individual humpback whales (megaptera novaeangliae). The method uses a densely connected convolutional network (densenet) to extract special keypoints of an image of the ventral surface of the fluke and then a separate densenet trained to look for features within these keypoints. The extracted features are then compared against those of the reference set of previously known humpback whales for similarity. This offers the potential to successfully automate recognition of individuals in large photographic datasets such as in ocean basin-wide marine mammal studies. The algorithm requires minimal image pre-processing and is capable of accurate, rapid matching of fair to high-quality humpback fluke photographs. In real world testing compared to manual image matching, the algorithm reduces image management time by at least 98% and reduces error rates of missing potential matches from approximately 6–9% to 1–3%. The success of this new system permits automated comparisons to be made for the first time across photo-identification datasets with tens to hundreds of thousands of individually identified encounters, with profound implications for long-term and large population studies of the species. © 2021, deutsche gesellschaft für säugetierkunde.",ENGLISH,10.1007/s42991-021-00180-9,NA
"POPOVA AY, 2021, ","Distant control of sanitary legislation compliance: goals, objectives, prospects for implementation [дистанционный контроль соблюдения требований санитарного законодательства: цели, задачи, перспективы внедрения]",Popova Ay;Zaitseva Nv;May Iv;Kiryanov Da;Kolesnik Pa,GIGIENA I SANITARIYA,00169900,100,10,1024-1034,2021,MEDITSINA PUBLISHERS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120683172&doi=10.47470%2f0016-9900-2021-100-10-1024-1034&partnerID=40&md5=d821db4bdf353ee0012e611237e259e3,"The article discusses the main aspects of the draft ""concept for the implementation distant control/monitoring forms of sanitary requirements compliance (remote/ contactless supervision)."" The project document was developed according to the ""national action plan ensuring the recovery of employment and incomes of the population, economic growth and long-term structural changes in the economic"" control in the russian federation"". It has been determined that introducing remote forms of supervision is the general improvement of the state control system with a general decrease in the administrative burden on business entities. The task is also to identify the negative trends in the activities of organizations at the earliest possible stages and adopt proactive state response measures to violations of the law. The concept establishes that the critical difference between remote control and contact, face-to-face forms is the most full use and science-intensive processing of data accumulated in the information field about the activity of the economic unit. The information field is formed by departmental databases collected in the unified information system of rospotrebnadzor (eias) and external state, municipal and other databases. An analysis is carried out through remote access to information. The remote control also implies a gradual, but significant expansion of the hardware use for fixing objects and processes status (audio-photo-video tools, sensors for measuring object parameters, etc.). An intelligent information system provides information and analytical support for the entire cycle of actions provided for by the regulations for conducting remote control and supervision activities. The system focuses on identifying evidence of violation or compliance with sanitary legislation based on the study of transmitted information. The functioning of an intelligent system involves the modern methods of machine processing of big data (big data), including elements of artificial intelligence based on machine learning of artificial neural networks, etc. The data generated in the system is sent to the shared storage of the eias for the combined processing data from remote and contact supervision and systemic complex analysis with the involvement of data from social and hygienic monitoring and other departments. The phased introduction of distant control in the activities of the service requires the improvement of the regulatory, methodological, material, and technical base, as well as the human resources development in the direction, increasing the computer literacy of expert specialists, persons responsible for maintaining the information system, its administration, and ensuring uninterrupted operation. It is shown that the effectiveness of the distant control implementation with the use of information and analytical approach can reduce from 15 to 60% time for one scheduled inspection, decrease the labour costs of inspectors and specialists of supervised facilities, expanding the number of inspected objects. © 2021 izdatel'stvo meditsina. All rights reserved.",RUSSIAN,10.47470/0016-9900-2021-100-10-1024-1034,NA
"MOLLS C, 2021, ",The obs-services and their potentials for biodiversity data assessments with a test of the current reliability of photo-identification of coleoptera in the field,Molls C,TIJDSCHRIFT VOOR ENTOMOLOGIE,00407496,164,1,143-153,2021,BRILL ACADEMIC PUBLISHERS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120678690&doi=10.1163%2f22119434-bja10018&partnerID=40&md5=904d5447b953cb805da1ade064ccd5e5,"The current reliability of species identifications by the nature identification api (nia) of the app obsidentify is tested with a coleoptera (insecta) sample set from germany. Seventy-five photographic beetle records taken with a smartphone camera under “average user” conditions are analysed in terms of correctness of the app’s identification result on various taxonomic levels, the displayed confidence level of the identification and the time until validation of the results. More than 60% of samples were identified correctly at the species level, but only 53% were validated within a month. The mechanisms by which users can upload pictures of their observations to be identified by the artificial intelligence and the validation process by experts are briefly explained. Regional specifics and further opportunities for data usage as well as currently existing problems are discussed and improvements are suggested. The expert validation of records is identified as a huge quality advantage of the obs-services. They are generally found to be a promising tool for lay people and professional institutions, despite still existing deficiencies such as identification failure in mutilated specimens, cryptic and rare species, doubtful species rarity ratings as well as the still insufficient capacity of validation. Experts and institutions are encouraged to volunteer as validators and collaborators. © christian molls, 2021",ENGLISH,10.1163/22119434-bja10018,NA
"KOCABAS M, 2021, ",Spec: seeing people in the wild with an estimated camera,Kocabas M;Huang Chp;Tesch J;Müller L;Hilliges O;Black Mj,PROCEEDINGS OF THE IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION,15505499,NA,NA,11015-11025,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120601695&doi=10.1109%2fICCV48922.2021.01085&partnerID=40&md5=8eea740c1cdaf887b386d2dadd7245c6,"Due to the lack of camera parameter information for in-the-wild images, existing 3d human pose and shape (hps) estimation methods make several simplifying assumptions: weak-perspective projection, large constant focal length, and zero camera rotation. These assumptions often do not hold and we show, quantitatively and qualitatively, that they cause errors in the reconstructed 3d shape and pose. To address this, we introduce spec, the first in-the-wild 3d hps method that estimates the perspective camera from a single image and employs this to reconstruct 3d human bodies more accurately. First, we train a neural network to estimate the field of view, camera pitch, and roll given an input image. We employ novel losses that improve the calibration accuracy over previous work. We then train a novel network that concatenates the camera calibration to the image features and uses these together to regress 3d body shape and pose. Spec is more accurate than the prior art on the standard benchmark (3dpw) as well as two new datasets with more challenging camera views and varying focal lengths. Specifically, we create a new photorealistic synthetic dataset (spec-syn) with ground truth 3d bodies and a novel in-the-wild dataset (spec-mtp) with calibration and high-quality reference bodies. Code and datasets are available for research purposes at https://spec.is.tue.mpg.de/. © 2021 ieee",ENGLISH,10.1109/ICCV48922.2021.01085,calibration;  computer vision;  image reconstruction; 3d human pose estimation;  camera parameter;  camera rotations;  estimation methods;  focal lengths;  human shapes;  perspective projections;  shape estimation;  simplifying assumptions;  weak perspective; cameras
"SAMMA H, 2021, ",Evolving pre-trained cnn using two-layers optimizer for road damage detection from drone images,Samma H;Suandi Sa;Ismail Na;Sulaiman S;Ping Ll,IEEE ACCESS,21693536,9,NA,158215-158226,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120583658&doi=10.1109%2fACCESS.2021.3131231&partnerID=40&md5=bdce109a7eb68c3e4cb00612d3abc8a2,"There are numerous pre-trained convolutional neural networks (cnn) introduced in the literature, such as alexnet, vgg-19, and resnet. These pre-trained cnn models could be reused and applied to tackle different image recognition problems. Unfortunately, these pre-trained cnn models are complex and have a large number of convolutional filters. To tackle such a complexity challenge, this research aims to evolve a pre-trained vgg-19 using an efficient two-layers optimizer. The proposed optimizer performs filters selection of the last layers of vgg-19 guided by the accuracy of the linear svm classifier. The proposed approach has three main advantages. Firstly, it adopts a powerful two-layers optimizer that works with a micro swarm population. Secondly, it automatically evolves a lightweight deep model which uses a small number of vgg-19 convolutional filters. Thirdly, it applies the developed model for real-world road damage detection from drone-based images. To evaluate the effectiveness of the proposed approach, a total of 529 images were captured by using a drone-based camera for various road damages. Reported results indicated that the proposed model achieved 96.4% f1-score accuracy with a reduction of vgg-19 filter up to 52%. In addition, the proposed two-layers optimizer was able to outperform several related optimizers such as arithmetic optimization algorithm (aoa), wild geese algorithm (wgo), particle swarm optimization (pso), comprehensive learning particle swarm optimization (clpso), and reinforcement learning-based memetic particle swarm optimization (rlmpso). © 2013 ieee.",ENGLISH,10.1109/ACCESS.2021.3131231,aircraft detection;  complex networks;  convolution;  damage detection;  deep neural networks;  drones;  image recognition;  particle swarm optimization (pso);  reinforcement learning;  roads and streets; complexity theory;  computational modelling;  convolutional neural network;  deep learning;  images segmentations;  optimizers;  pre-trained convolutional neural network;  road damage;  two-layer;  two-layer optimizer;  vgg-19; image segmentation
"WOOD E, 2021, ",Fake it till you make it: face analysis in the wild using synthetic data alone,Wood E;Baltrušaitis T;Hewitt C;Dziadzio S;Cashman Tj;Shotton J,PROCEEDINGS OF THE IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION,15505499,NA,NA,3661-3671,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120566132&doi=10.1109%2fICCV48922.2021.00366&partnerID=40&md5=b8fbcabb43ef045dc1722d12610296db,"We demonstrate that it is possible to perform face-related computer vision in the wild using synthetic data alone. The community has long enjoyed the benefits of synthesizing training data with graphics, but the domain gap between real and synthetic data has remained a problem, especially for human faces. Researchers have tried to bridge this gap with data mixing, domain adaptation, and domain-adversarial training, but we show that it is possible to synthesize data with minimal domain gap, so that models trained on synthetic data generalize to real in-the-wild datasets. We describe how to combine a procedurally-generated parametric 3d face model with a comprehensive library of hand-crafted assets to render training images with unprecedented realism and diversity. We train machine learning systems for face-related tasks such as landmark localization and face parsing, showing that synthetic data can both match real data in accuracy as well as open up new approaches where manual labeling would be impossible. © 2021 ieee",ENGLISH,10.1109/ICCV48922.2021.00366,3d modeling;  learning systems; 3d face modeling;  domain adaptation;  face analysis;  human faces;  landmark localization;  machine learning systems;  new approaches;  synthetic data;  training data;  training image; computer vision
"JIANG J, 2021, -a",Boosting facial expression recognition by a semi-supervised progressive teacher,Jiang J;Deng W,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,19493045,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120540297&doi=10.1109%2fTAFFC.2021.3131621&partnerID=40&md5=b3be753b8af876cd7dee652a338c1cdf,"In this paper, we aim to improve the performance of in-the-wild facial expression recognition (fer) by exploiting semi-supervised learning. Large-scale labeled data and deep learning methods have greatly improved the performance of image recognition. However, the performance of fer is still not ideal due to the lack of training data and incorrect annotations (e.g., label noises). Among existing in-the-wild fer datasets, reliable ones contain insuffificient data to train robust deep models while large-scale ones are annotated in lower quality. To address this problem, we propose a semi-supervised learning algorithm named progressive teacher (pt) to utilize reliable fer datasets as well as large-scale unlabeled expression images for effective training. On the one hand, pt introduces semi-supervised learning method to relieve the shortage of data in fer. On the other hand, it selects useful labeled training samples automatically and progressively to alleviate label noise. Pt uses selected clean labeled data for computing the supervised classifification loss and unlabeled data for unsupervised consistency loss. Experiments on widely-used databases raf-db and ferplus validate the effectiveness of our method, which achieves state-of-the-art performance with accuracy of 89.57% on raf-db. Additionally, when the synthetic noise rate reaches even 30%, the performance of our pt algorithm only degrades by 4.37%. Ieee",ENGLISH,10.1109/TAFFC.2021.3131621,deep learning;  face recognition;  image enhancement;  learning algorithms;  supervised learning;  teaching; deep learning;  facial expression recognition;  label noise;  labeled data;  large-scales;  noise measurements;  performance;  semi-supervised;  semi-supervised learning;  teachers'; personnel training
"SALLANG NCA, 2021, ",A cnn-based smart waste management system using tensorflow lite and lora-gps shield in internet of things environment,Sallang Nca;Islam Mt;Islam Ms;Arshad H,IEEE ACCESS,21693536,9,NA,153560-153574,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120529226&doi=10.1109%2fACCESS.2021.3128314&partnerID=40&md5=99b9ea819d0f8377fd72d0831ef1e8aa,"Urban areas are facing challenges in waste management systems due to the rapid growth of population in cities, causing huge amount of waste generation. As traditional waste management system is highly inefficient and costly, the waste of resources can be utilized efficiently with the integration of the internet of things (iot) and deep learning model. The main purpose of this research is to develop a smart waste management system using the deep learning model that improves the waste segregation process and enables monitoring of bin status in an iot environment. The ssd mobilenetv2 quantized is used and trained with the dataset that consists of paper, cardboard, glass, metal, and plastic for waste classification and categorization. By integrating the trained model on tensorflow lite and raspberry pi 4, the camera module detects the waste and the servo motor, connected to a plastic board, categorizes the waste into the respective waste compartment. The ultrasonic sensor monitors the waste fill percentage, and a gps module obtains the real-time latitude and longitude. The lora module on the smart bin sends the status of the bin to the lora receiver at 915 mhz. The electronic components of the smart bin are protected with rfid based locker, where only the registered rfid tag can be used to unlock for maintenance or upgrading purposes. © 2013 ieee.",ENGLISH,10.1109/ACCESS.2021.3128314,bins;  classification (of information);  deep learning;  environmental management;  object detection;  object recognition;  population statistics;  ultrasonic applications;  urban growth;  waste incineration;  waste management; cnn;  learning models;  lora-gps shield;  rapid growth;  segregation process;  urban areas;  waste classification;  waste generation;  waste management systems;  waste of resources; internet of things; cities;  classification;  integration;  internet;  plastics;  processes;  systems;  waste management
"TAO H, 2021, ",Estimation and prediction of fog day-based visibility based on convolutional neural network,Tao H;Li X;Zhang Z;Zhu Q,PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING,0277786X,11928,NA,NA,2021,SPIE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120479011&doi=10.1117%2f12.2611940&partnerID=40&md5=69d926e2b483a792db6d5342590be58a,"Visibility prediction is a concern issue in the field of public transportation, which is related to the normal operation of flights and the safe travel of vehicles. Therefore, reasonable prediction of visibility is very important to improve the efficiency and safety of public transportation. This paper mainly combines data and video, and images are quantified for quantitative analysis of large fog evolution trends. Further, the mathematical model is established to study the visibility prediction problem that is concerned with the current traffic, aviation field, and proposes targeted recommendations for the current predictive means. Preprocessing the sample data, eliminates the wild value, performs interpolation processing on the missing position, regression analysis of the image, obtains the regression model of image visibility changes, performs visibility prediction, select accuracy, adaptive ability, good depth integration convolutional neural network (cnn) is an algorithm for learning processing on the image. In the model establishment, the three image processing modes (fourier change algorithm, spectral filtering, original pictures) are established, and the hidden feature, depth integrated volume is established by the three image processing modes (fourier change algorithm, spectral filtering, original pictures). Total neural network (cnn) simultaneously learns three images of the input and generates a classification output, and finally the categorized visual network model. © copyright spie. Downloading of the abstract is permitted for personal use only.",ENGLISH,10.1117/12.2611940,convolution;  forecasting;  fourier series;  image analysis;  learning algorithms;  neural networks;  regression analysis; 'current;  convolutional neural network;  estimation and predictions;  fourier;  fourier change algorithm;  images processing;  normal operations;  public transportation;  spectral filtering;  visibility prediction; visibility
"AMOORE L, 2021, ",The deep border,Amoore L,POLITICAL GEOGRAPHY,09626298,NA,NA,NA,2021,ELSEVIER LTD,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120335408&doi=10.1016%2fj.polgeo.2021.102547&partnerID=40&md5=9f54401ae3acb680483528c50b79661b,"Deep neural network algorithms are becoming intimately involved in the politics of the border, and are themselves bordering devices in that they classify, divide and demarcate boundaries in data. Deep learning involves much more than the deployment of technologies at the border, and is reordering what the border means, how the boundaries of political community can be imagined. Where the biometric border rendered the border mobile through its inscription in the body, the deep border generates the racialized body in novel forms that extend the reach of state violence. The deep border is written through the machine learning models that make the world in their own image – as clusters of attributes and feature spaces from which data examples can be drawn. The ‘depth’ that becomes imaginable in computer science models of the indefinite multiplication of layers in a neural network begins to resonate with state desires for a reach into the attributes of population. The border is spatially reimagined as a set of always possible functions, features, and clusters – as a ‘line of best fit’ where the fraught politics of the border can be condensed and resolved. © 2021 the author",ENGLISH,10.1016/j.polgeo.2021.102547,NA
"TRAN P, 2021, ",Explore image deblurring via encoded blur kernel space,Tran P;Tran At;Phung Q;Hoai M,PROCEEDINGS OF THE IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION,10636919,NA,NA,11951-11960,2021,IEEE COMPUTER SOCIETY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120300987&doi=10.1109%2fCVPR46437.2021.01178&partnerID=40&md5=535bf6f5fc78bd738bac056425aa9a11,"This paper introduces a method to encode the blur operators of an arbitrary dataset of sharp-blur image pairs into a blur kernel space. Assuming the encoded kernel space is close enough to in-the-wild blur operators, we propose an alternating optimization algorithm for blind image deblurring. It approximates an unseen blur operator by a kernel in the encoded space and searches for the corresponding sharp image. Unlike recent deep-learning-based methods, our system can handle unseen blur kernel, while avoiding using complicated handcrafted priors on the blur operator often found in classical methods. Due to the method's design, the encoded kernel space is fully differentiable, thus can be easily adopted in deep neural network models. Moreover, our method can be used for blur synthesis by transferring existing blur operators from a given dataset into a new domain. Finally, we provide experimental results to confirm the effectiveness of the proposed method. The code is available at https://github.com/vinairesearch/blur-kernel-space-exploring. © 2021 ieee",ENGLISH,10.1109/CVPR46437.2021.01178,computer vision;  deep neural networks; alternating optimizations;  blur images;  classical methods;  image deblurring;  image pairs;  kernel space;  learning-based methods;  neural network model;  optimization algorithms; image enhancement
"DESHPANDE A, 2021, ",Hybrid features enabled adaptive butterfly based deep learning approach for human activity recognition,Deshpande A;Warhade Kk,LECTURE NOTES IN ELECTRICAL ENGINEERING,18761100,796,NA,341-363,2021,SPRINGER SCIENCE AND BUSINESS MEDIA DEUTSCHLAND GMBH,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120079899&doi=10.1007%2f978-981-16-5078-9_30&partnerID=40&md5=f2a0a4b30d840d217ba6b63646a22bf6,"Human activity recognition framework is facing many challenges and issues that are promoting the development of a new activity recognition system to improve accuracy under realistic conditions. Therefore, efficient human activity detection is proposed in this paper. At first, the input video is converted into frames then the keyframes are selected using a structural similarity measure. Next, the local and global features are selected from the video frames. Finally, the selected features are fed to the classifier for identifying human activity. In the proposed method, the traditional deep learning algorithm is improved by applying optimization techniques. Adaptive monarch butterfly optimization algorithm (ambo) is used to improve the performance of the traditional deep learning algorithm. Monarch butterfly optimization algorithm (mbo) is a population-based natural inspired algorithm. It mimics the foraging and the social behavior of the butterflies. The optimal parameters are selected for activity detection. The proposed method is computed based on accuracy, sensitivity, and specificity and implemented using the matlab platform. The experimental results show activity recognition accuracy improved to 96%. © 2021, the author(s), under exclusive license to springer nature singapore pte ltd.",ENGLISH,10.1007/978-981-16-5078-9_30,deep learning;  image recognition;  optimization;  social behavior; activity recognition;  human activity recognition;  human-activity detection;  hybrid features;  input videos;  key-frames;  learning approach;  optimization algorithms;  realistic conditions;  recognition systems; learning algorithms
"PERALTA B, 2021, ",Gender identification from community question answering avatars,Peralta B;Figueroa A;Nicolis O;Trewhela A,IEEE ACCESS,21693536,9,NA,156701-156716,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120076500&doi=10.1109%2fACCESS.2021.3130078&partnerID=40&md5=5340dad8a191af5609b0e8fe7e67cafe,"There are several reasons why gender recognition is vital for online social networks such as community question answering (cqa) platforms. One of them is progressing towards gender parity across topics as a means of keeping communities vibrant. More specifically, this demographic variable has shown to play a crucial role in devising better user engagement strategies. For instance, by kindling the interest of their members for topics dominated by the opposite gender. However, in most cqa websites, the gender field is neither mandatory nor verified when submitting and processing enrollment forms. And as might be expected, it is left blank most of the time, forcing cqa services to infer this demographic information from the activity of their users on their platforms such as prompted questions, answers, self-descriptions and profile images. There is only a handful of studies dissecting automatic gender recognition across cqa fellows, and as far as we know, this work is the first effort to delve into the contribution of their profile pictures to this task. Since these images are an unconstrained environment, their multifariousness poses a particularly difficult and interesting challenge. With this mind, we assessed the performance of three state-of-art image processing techniques, namely pre-trained neural network models. In a nutshell, our best configuration finished with an accuracy of 81.68% (inception-resnet-50), and its corresponding grad-cam maps unveil that one of its principal focus of attention is determining silhouettes edges. All in all, we envisage that our findings are going to play a fundamental part in the design of efficient multi-modal strategies. © 2013 ieee.",ENGLISH,10.1109/ACCESS.2021.3130078,data handling;  data mining;  face recognition;  job analysis;  neural networks;  online systems;  population statistics;  social networking (online);  social sciences computing;  user profile; avatar;  community question answering;  computers and information processing;  data systems;  digital system;  images processing;  neural-networks;  social computing;  social networking (online);  task analysis;  user demographic analyse; semantics
"KADAM KD, 2021, ",Detection and localization of multiple image splicing using mobilenet v1,Kadam Kd;Ahirrao S;Kotecha K;Sahu S,IEEE ACCESS,21693536,9,NA,162499-162519,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120042152&doi=10.1109%2fACCESS.2021.3130342&partnerID=40&md5=4942faf3fd7ae38ec522e35ab952ae33,"In modern society, digital images have become a prominent source of information and medium of communication. The easy availability of image-altering softwares have greatly reduced the expenses and expertise required to exploit visual tampering. Images can, however, be simply altered using these freely available image editing softwares. Two or more images are combined to generate a new image that can transmit information across social media platforms to influence the people in the society. This information may have both positive and negative consequences. Hence there is a need to develop a technique that will detect and locate a multiple image splicing forgery in an image. This research work proposes multiple image splicing forgery detection using mask r-cnn, with a backbone as a mobilenet v1. It also calculates the percentage score of a forged region of multiple spliced images. The comparative analysis of the proposed work with the variants of resnet is performed. The proposed model is trained and tested using the misd (multiple image splicing dataset), and it is observed that the proposed model outperforms the variants of resnet models (resnet 51,101 and 151). The proposed model achieves an average precision of 82% on multiple image splicing dataset, 74% on casia 1.0, 81% on wildweb, and 86% on columbia gray. The f1-score of the proposed method on misd was 67%, 64% on casia 1.0 68% on wildweb, and 61% on columbia gray, outperforming resnet variants. © 2013 ieee.",ENGLISH,10.1109/ACCESS.2021.3130342,deep learning;  gold; deep learning;  features extraction;  forgery;  gold;  image color analysis;  image forgery;  image splicing;  mobilenet v1;  multiple image;  multiple image splicing forgery;  social networking (online);  splicing;  symbiosis; social networking (online)
"SAI RAMESH L, 2021, ",Multi-scale fish segmentation refinement using contour based segmentation,Sai Ramesh L;Rangapriya Cn;Archana M;Sabena S,ADVANCES IN PARALLEL COMPUTING,09275452,39,NA,358-369,2021,IOS PRESS BV,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119840188&doi=10.3233%2fAPC210159&partnerID=40&md5=31711ae67f872141b765874f9106c1e2,"Image processing and the analysis techniques are the increasing attention when they have enabled the non-extractive and the non-lethal approach for the collection of fisheries data. The data collection includes the following requirements such as fish size, catch estimation, regulatory compliance, species recognition and population counting. The main process that is used to measure the size of fish accurately is image segmentation. The challenges that can affect the segmentation of images include the blurring of the image areas due to the water droplets on the camera lens and the fish bodies which are out of the camera view. This project describes the automatic segmentation of fish for underwater images this segmentation algorithm implemented for identify the shape of the fish contour-based segmentation is implemented in this project. The project describes about the issues with an effective contour-based segmentation from an initial segmentation. The refinement is processed from coarse level to fine level. At the coarse level, the entire fish is aligned for the contour of the initial segmentation with trained representative contours by using iteratively reweighted least squares (irls). At finer levels, the refinement of contour segments is done to represent poorly segmented or missing shape parts. This method addresses the problems listed above and generates promising results with highly robust segmentation performance and length measurement. © 2021 the authors and ios press.",ENGLISH,10.3233/APC210159,NA
"ABED R, 2021, ",Toward a robust shape and texture face descriptor for efficient face recognition in the wild,Abed R;Bahroun S;Zagrouba E,LECTURE NOTES IN COMPUTER SCIENCE (INCLUDING SUBSERIES LECTURE NOTES IN ARTIFICIAL INTELLIGENCE AND LECTURE NOTES IN BIOINFORMATICS),03029743,13053 LNCS,NA,319-328,2021,SPRINGER SCIENCE AND BUSINESS MEDIA DEUTSCHLAND GMBH,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119483201&doi=10.1007%2f978-3-030-89131-2_29&partnerID=40&md5=e72acdebb535c1793f27f9677d4e3efc,"Face recognition in complex environments has attracted the attention of the research community in the last few years due to the huge difficulties that can be found in images captured in such environments. In this context, we propose to extract a robust facial description in order to improve facial recognition rate even in the presence of illumination, pose or facial expression problems. Our method uses texture descriptors, namely mesh-lbp extracted from 3d meshs. These extracted descriptors will then be used to train a convolution neural networks (cnn) to classify facial images. Experiments on several datasets has shown that the proposed method gives promising results in terms of face recognition accuracy under pose, face expressions and illumination variation. © 2021, springer nature switzerland ag.",ENGLISH,10.1007/978-3-030-89131-2_29,3d modeling;  convolution;  mesh generation;  textures; 3d morphable model;  complex environments;  convolution neural network;  efficient faces;  face descriptor;  facial description;  facial recognition;  mesh-lbp;  research communities;  shape and textures; face recognition
"PHAM K, 2021, ",Learning to predict visual attributes in the wild,Pham K;Kafle K;Lin Z;Ding Z;Cohen S;Tran Q;Shrivastava A,PROCEEDINGS OF THE IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION,10636919,NA,NA,13013-13023,2021,IEEE COMPUTER SOCIETY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119318697&doi=10.1109%2fCVPR46437.2021.01282&partnerID=40&md5=f01875e0e323ca7ce7d3db053f849ecb,"Visual attributes constitute a large portion of information contained in a scene. Objects can be described using a wide variety of attributes which portray their visual appearance (color, texture), geometry (shape, size, posture), and other intrinsic properties (state, action). Existing work is mostly limited to study of attribute prediction in specific domains. In this paper, we introduce a large-scale in-the-wild visual attribute prediction dataset consisting of over 927k attribute annotations for over 260k object instances. Formally, object attribute prediction is a multi-label classification problem where all attributes that apply to an object must be predicted. Our dataset poses significant challenges to existing methods due to large number of attributes, label sparsity, data imbalance, and object occlusion. To this end, we propose several techniques that systematically tackle these challenges, including a base model that utilizes both low- and high-level cnn features with multi-hop attention, reweighting and resampling techniques, a novel negative label expansion scheme, and a novel supervised attribute-aware contrastive learning algorithm. Using these techniques, we achieve near 3.7 map and 5.7 overall f1 points improvement over the current state of the art. © 2021 ieee",ENGLISH,10.1109/CVPR46437.2021.01282,classification (of information);  computer vision;  large dataset;  learning algorithms;  textures; color textures;  data imbalance;  data objects;  intrinsic property;  large-scales;  object attributes;  object occlusion;  texture geometry;  visual appearance;  visual attributes; forecasting
